id,birth_month,birth_year,education_dad,education_mom,drug_use_score,flag_female,flag_black,flag_hispanic,flag_divorce,school_quality,year,CV_CENSUS_REGION,education,hours_worked_since02,wage,log_wage,fte_experience,flag_working,flag_married,num_children,fte_experience_sq,age
5628,8,1982,12,14,0,1,1,0,0,-2,2010,3,14,13391,12.75,2.5455312716044354,6.6955,1,0,1,44.82972025,28
5628,8,1982,12,14,0,1,1,0,0,-2,2011,3,14,14501,12.75,2.5455312716044354,7.2505,1,0,1,52.56975025,29
5628,8,1982,12,14,0,1,1,0,0,-2,2013,3,14,15906,12.91,2.558002204858551,7.953,1,0,1,63.250209000000005,31
5628,8,1982,12,14,0,1,1,0,0,-2,2015,3,14,18644,25,3.2188758248682006,9.322,1,0,1,86.89968399999998,33
5628,8,1982,12,14,0,1,1,0,0,-2,2017,3,14,22307,25,3.2188758248682006,11.1535,1,0,1,124.40056224999998,35
5628,8,1982,12,14,0,1,1,0,0,-2,2019,3,14,25459,26,3.258096538021482,12.7295,1,0,0,162.04017025,37
5628,8,1982,12,14,0,1,1,0,0,-2,2021,3,14,26319,28.5,3.349904087274605,13.1595,1,0,0,173.17244025,39
5629,12,1983,12,12,12,0,1,0,0,-1,2010,3,12,12444,11,2.3978952727983707,6.222,1,0,0,38.71328400000001,27
5629,12,1983,12,12,12,0,1,0,0,-1,2011,3,12,14334,9.5,2.2512917986064953,7.167,1,0,0,51.365888999999996,28
5629,12,1983,12,12,12,0,1,0,0,-1,2013,3,12,16294,9,2.1972245773362196,8.147,1,0,0,66.373609,30
5629,12,1983,12,12,12,0,1,0,0,-1,2015,3,12,19534,13,2.5649493574615367,9.767,1,0,0,95.39428899999999,32
5629,12,1983,12,12,12,0,1,0,0,-1,2017,3,12,24344,12,2.4849066497880004,12.172,1,0,0,148.15758400000001,34
5629,12,1983,12,12,12,0,1,0,0,-1,2019,3,12,27129,11,2.3978952727983707,13.5645,1,0,0,183.99566025000001,36
5629,12,1983,12,12,12,0,1,0,0,-1,2021,3,12,27889,14,2.6390573296152584,13.9445,1,0,0,194.44908024999998,38
5630,8,1981,12,12,0,0,0,0,0,2,2011,3,14,19315,12.15,2.4973291697865574,9.6575,1,1,0,93.26730625000002,30
5630,8,1981,12,12,0,0,0,0,0,2,2013,3,14,23995,13.25,2.583997552432231,11.9975,1,1,0,143.94000625,32
5630,8,1981,12,12,0,0,0,0,0,2,2015,3,14,28135,14.75,2.691243082785829,14.0675,1,1,0,197.89455625000002,34
5630,8,1981,12,12,0,0,0,0,0,2,2017,3,14,32335,NA,NA,16.1675,0,1,0,261.38805625000003,36
5630,8,1981,12,12,0,0,0,0,0,2,2019,3,14,36495,20,2.995732273553991,18.2475,1,1,0,332.97125624999995,38
